Order,PropID,Year,Number,Commercial,Value (taxation / sales price),Costs,NonSel,MedRent,Instelling,Street,Wijk,Number,HuurTotPJ,Huur Woning,Huur 1e bovenhuis,Huur 2e bovenhuis,Huur kelder,Huur achter,Huur per perceel,Huurschade,Vacancy cost,Verbouwing,Onderhoudskosten,Erfpacht,Grond- polderlasten,Straatgeld,Waterverbruik,Assurantie,Assurantiebelasting,Administratie,Precario,Overige,Wa-verz,TotBel,Totaal der lasten,Insurance,Taxes,Other,Vacancies,Maintenance & Renovation,Total,Netto opbrengst,NetRentFrac,CostFraction,NonTaxCosts,NonTaxFrac,HuurRel,HuurRelFrac,MedPriceInYear
1,1,1937,19,1,,1,0,,Burgerweeshuis,Kalverstraat,OldCenter,98,3000,,,,,,3000,,,,,,192.3,144,,8.5,21.68,,,,,336.3,366.48,30.18,336.3,0,0,0,366.48,2633.52,0.87784,0.12216,30.18,0.01006,0.736550891,1.088718856,1436.287124
2,1,1938,19,1,,0,0,,Burgerweeshuis,Kalverstraat,OldCenter,98,3000,,,,,,3000,,,,24.81,,192.3,144,,10,25.5,,,,,336.3,396.61,35.5,336.3,0,0,24.81,396.61,2603.39,0.867796667,0.132203333,60.31,0.020103333,0.786035575,1.194678519,1366.9428
3,1,1939,19,1,,0,0,,Burgerweeshuis,Kalverstraat,OldCenter,98,3000,,,,,,3000,,,,119.32,,191.35,144,,10,25.5,,,,,335.35,490.17,35.5,335.35,0,0,119.32,490.17,2509.83,0.83661,0.16339,154.82,0.051606667,0.810697635,1.249476752,1333.643478
4,1,1940,19,1,,0,0,,Burgerweeshuis,Kalverstraat,OldCenter,98,3000,,,,,,3000,,,,,,191.35,144,,10,25.5,,,,,335.35,370.85,35.5,335.35,0,0,0,370.85,2629.15,0.876383333,0.123616667,35.5,0.011833333,0.810053118,1.248027393,1334.503311
5,1,1941,19,1,,0,0,,Burgerweeshuis,Kalverstraat,OldCenter,98,3000,,,,,,3000,,,,,,274.68,144,,15,30,,,,,418.68,463.68,45,418.68,0,0,0,463.68,2536.32,0.84544,0.15456,45,0.015,0.771399825,1.162791665,1387.096154
6,1,1942,19,1,,0,0,,Burgerweeshuis,Kalverstraat,OldCenter,98,3000,,,,,,3000,,,,,,277.95,144,,20,45,,,,,421.95,486.95,65,421.95,0,0,0,486.95,2513.05,0.837683333,0.162316667,65,0.021666667,0.770544839,1.160943299,1388.282609
7,1,1943,19,1,,0,0,,Burgerweeshuis,Kalverstraat,OldCenter,98,3000,,,,,,3000,,,,20.6,,275.17,144,,20,45,,,,,419.17,504.77,65,419.17,0,0,20.6,504.77,2495.23,0.831743333,0.168256667,85.6,0.028533333,0.669155991,0.952588622,1536.421941
8,1,1944,19,1,,0,0,,Burgerweeshuis,Kalverstraat,OldCenter,98,3000,,,,,,3000,,,,,,281.76,144,,20,40.5,,,,,425.76,486.26,60.5,425.76,0,0,0,486.26,2513.74,0.837913333,0.162086667,60.5,0.020166667,0.678797678,0.971505922,1521.679426
9,1,1945,19,1,,0,0,,Burgerweeshuis,Kalverstraat,OldCenter,98,3000,,,,,,3000,,,,,,297.28,144,,20,40.5,,,,,441.28,501.78,60.5,441.28,0,0,0,501.78,2498.22,0.83274,0.16726,60.5,0.020166667,0.661759596,0.938199784,1547.828054
10,1,1946,19,1,,0,0,,Burgerweeshuis,Kalverstraat,OldCenter,98,3000,,,,,,3200,,,,112.84,,297.28,144,,20,40.5,,,,,441.28,614.62,60.5,441.28,0,0,112.84,614.62,2585.38,0.861793333,0.204873333,173.34,0.05778,0.758347859,1.134746404,1405.319149
