,RPI,consumentenprijsindex,interstrate,huizenprijsindex,reelehuizenprijsindex,reelehuurprijsindex,loonindex,caprent,kapitaliseerdehuur,reele huizenprijs,interstrate
1620,472.21,633.7154328,0.0625,40.39826279,6.374827043,74.51451796,421.9620953,851.594491,75.40497964,107.0041868,0.0625
1621,462.29,618.7394218,0.0625,42.34258859,6.843363635,74.71481268,422.4663333,853.8835735,75.60766792,114.868773,0.0625
1622,464.24,742.1357468,0.0625,43.92927558,5.919304624,62.55459355,422.9705713,714.9096406,63.30213202,99.35804897,0.0625
1623,451.96,799.3107814,0.0625,45.25221894,5.661404799,56.54371372,423.4748093,646.2138711,57.21942111,95.02909058,0.0625
1624,445.5,821.1108032,0.0625,45.87633308,5.58710626,54.25577136,423.9790472,620.0659584,54.90413743,93.78195796,0.0625
1625,465.23,813.5222783,0.0625,46.64675654,5.733924907,57.18712473,424.4832852,653.5671398,57.870521,96.24637148,0.0625
1626,441.83,764.6169175,0.0625,44.20049119,5.780736755,57.7844918,430.5685679,660.394192,58.47502671,97.03212828,0.0625
1627,425.61,779.7586854,0.0625,43.26008634,5.547881306,54.58227115,436.6538507,623.7973846,55.23453896,93.1235504,0.0625
1628,447.71,834.6275947,0.0625,41.48542836,4.970531603,53.64188805,442.7391334,613.0501492,54.28291811,83.43248976,0.0625
1629,440.52,931.1826627,0.0625,41.73903359,4.482367989,47.30758181,448.8244161,540.6580779,47.87291579,75.23845561,0.0625
1630,455.92,1033.340679,0.0625,42.65334055,4.127713291,44.12097668,454.9096989,504.2397335,44.64823016,69.28542546,0.0625
1631,464.11,1029.717569,0.0625,46.10703405,4.477638863,45.07158215,466.2276565,515.103796,45.61019553,75.15907521,0.0625
1632,475.75,852.8185625,0.0625,48.10521501,5.64073264,55.78560563,477.5456142,637.5497786,56.45225349,94.68209959,0.0625
1633,479.16,816.0015279,0.0625,48.97958142,6.002388444,58.72047829,488.8635718,671.0911804,59.4221984,100.7526463,0.0625
1634,487.25,867.4844882,0.0625,50.76208244,5.851641514,56.16815132,500.1815295,641.9217294,56.83937067,98.22229486,0.0625
1635,490.86,801.6648445,0.0625,50.66177627,6.319570656,61.2300768,511.4994872,699.7723063,61.96178706,106.0766848,0.0625
1636,492.98,796.0139341,0.0625,51.49567435,6.469192579,61.93107669,511.1935274,707.7837336,62.67116402,108.5881525,0.0625
1637,503.05,870.6963142,0.0625,48.76597084,5.600801341,57.77559774,510.8875677,660.2925456,58.46602636,94.01183573,0.0625
1638,513.99,878.7855608,0.0625,47.82817672,5.442531017,58.48867152,510.581608,668.4419602,59.1876215,91.35520094,0.0625
1639,526.95,848.7560137,0.0625,52.78406857,6.218991998,62.08497984,510.2756483,709.5426267,62.82690634,104.3884292,0.0625
1640,524.74,892.9564819,0.05,55.28735159,6.191494514,58.7643419,509.9696886,783.5245586,69.37768388,103.9268722,0.05
1641,533.01,860.6579349,0.05,58.67326818,6.817257566,61.93052761,510.2492259,825.7403681,73.11570978,114.4305715,0.05
1642,545.64,830.4265839,0.05,71.02668767,8.553036361,65.70598902,510.5287633,876.0798535,77.57305175,143.5663578,0.05
1643,579.17,876.8021278,0.05,76.30277276,8.702393658,66.05481233,510.8083007,880.730831,77.98487553,146.0733836,0.05
1644,596.3,908.878513,0.05,80.28058978,8.832928563,65.60832845,511.0878381,874.7777126,77.45775285,148.2644676,0.05
1645,585.89,855.9067541,0.05,83.76686352,9.786914652,68.45255014,511.3673755,912.7006685,80.81566527,164.2775304,0.05
1646,591.51,823.2061112,0.05,82.87307059,10.06711071,71.85442284,514.2706922,958.0589712,84.83194524,168.9807406,0.05
1647,590.92,854.1751735,0.05,84.5005196,9.892645234,69.18018907,517.1740089,922.4025209,81.67472201,166.0522632,0.05
1648,587.46,972.6630311,0.05,76.33665834,7.848212166,60.3970729,520.0773255,805.2943054,71.30530005,131.7355835,0.05
1649,606.28,1024.073066,0.05,78.03227885,7.619796032,59.20280692,522.9806422,789.370759,69.89533944,127.9015214,0.05
1650,607.91,1084.909469,0.05,81.84270361,7.543735763,56.03324677,525.8839589,747.1099569,66.15332966,126.6248174,0.05
1651,630.18,1113.859051,0.05,86.33323063,7.750821843,56.57627861,523.5943431,754.3503814,66.79443768,130.1008455,0.05
1652,646.83,1144.398521,0.05,79.11811905,6.913511124,56.52139426,521.3047273,753.6185902,66.72964075,116.0462285,0.05
1653,612.71,1026.454946,0.05,78.36879373,7.634898545,59.69185519,519.0151115,795.8914026,70.472714,128.1550236,0.05
1654,576.86,884.6227672,0.05,72.36162418,8.179941424,65.20971666,516.7254957,869.4628888,76.98714837,137.3038004,0.05
1655,605.53,839.6753078,0.05,76.47776376,9.108016283,72.11477989,514.4358799,961.5303985,85.13932499,152.8819322,0.05
1656,614.2,912.7986536,0.041632653,76.44963218,8.375300717,67.28756638,519.3050834,1009.828715,89.4159304,140.5829893,0.041632653
1657,637.57,851.9306637,0.04,83.48197263,9.799151056,74.83825001,524.174287,1151.357692,101.9477043,164.4829237,0.04
1658,641.43,983.2049662,0.04,84.16870931,8.560647291,65.23868594,529.0434905,1003.672091,88.87078817,143.6941105,0.04
1659,650.33,1101.626932,0.042640164,91.44246051,8.300674017,59.03359668,533.9126941,872.7595144,77.2790502,139.3303484,0.042640164
1660,672.33,1053.184877,0.04,91.71556493,8.708401244,63.83779474,538.7818976,982.1199191,86.96243727,146.1742235,0.04
1661,661.63,1115.795917,0.040404694,95.30682496,8.541600082,59.29668588,541.0526382,906.6120833,80.27654759,143.374395,0.040404694
1662,643.78,1129.836113,0.04,101.6514605,8.997009332,56.97994537,543.3233789,876.6145442,77.62039628,151.0186332,0.04
1663,650.09,1030.573491,0.039981826,99.50623861,9.655423847,63.0804116,545.5941195,970.7392895,85.95473214,162.0704012,0.039981826
1664,653.51,913.5457703,0.04,96.75371572,10.59100911,71.53555095,547.8648601,1100.546938,97.4486335,177.7745983,0.04
1665,643.82,1035.088768,0.04,94.0451684,9.085710454,62.1994963,550.1356008,956.9153278,84.73068059,152.5075193,0.04
1666,605.02,958.6552492,0.04,90.51419757,9.441788135,63.11132188,549.4432994,970.9434135,85.97280643,158.4844348,0.04
1667,599.44,877.3945224,0.04,85.28781624,9.720577695,68.320463,548.7509979,1051.084046,93.06891007,163.1640363,0.04
1668,609.3,932.8410026,0.04,88.59332887,9.4971521,65.31659718,548.0586965,1004.870726,88.97692203,159.4137426,0.04
1669,622.7,794.9643732,0.04,86.76520431,10.91435129,78.3305543,547.3663951,1205.085451,106.7050631,183.2020345,0.04
1670,618.83,845.7512081,0.041277821,80.27236218,9.491250076,73.16927178,546.6740937,1103.978234,97.75245981,159.3146746,0.041277821
1671,624.36,858.7763007,0.04,80.56968738,9.381917888,72.70345019,547.4041418,1118.514618,99.03959327,157.4794872,0.04
1672,606.81,934.0541709,0.042130872,78.09828631,8.361215949,64.96518285,548.1341899,967.7392965,85.68909584,140.3465705,0.042130872
1673,582.42,937.5601952,0.041451,70.61798281,7.53210121,62.12081133,548.8642381,934.8363656,82.77568475,126.4295265,0.041451
1674,555.32,964.2262058,0.048931461,66.85995574,6.934052957,57.59229491,549.5942862,778.9957635,68.97667882,116.3910319,0.048931461
1675,560.85,993.3190931,0.052607244,64.29407789,6.472650968,56.46221883,550.3243343,727.5379967,64.4203179,108.646203,0.052607244
1676,545.73,972.8223671,0.053349448,57.96113874,5.958039279,56.09759998,550.8638765,715.9922809,63.3979951,100.0082267,0.053349448
1677,542.58,905.5865918,0.052764041,56.6417545,6.254703307,59.91475635,551.4034187,770.4686585,68.22164085,104.9878587,0.052764041
1678,549.91,864.1930851,0.048556361,56.80289914,6.572940714,63.63277021,551.9429609,865.0886116,76.59982519,110.3296091,0.048556361
1679,527.25,833.6664503,0.043290855,56.38596681,6.763612329,63.24471853,552.4825031,926.1081668,82.00284079,113.5301134,0.043290855
1680,545.07,864.0495243,0.037335907,53.08539511,6.143790791,63.08318964,553.0220453,1011.987997,89.60712533,103.1261449,0.037335907
