entryid,propid,duplicate,Database,Stad,Street,No,day,month,year,price,appraisal,HerengrachtRem,EntryIDOrig,PropIDOrig
1,1,0,SAAuctions,Amsterdam,Aalsmeerderweg,199_211_213,21,10,1931,82500,1,0,4062,344
2,1,0,SAAuctions,Amsterdam,Aalsmeerderweg,199_211_213,23,12,1949,108000,1,0,4063,344
3,2,0,SAAuctions,Amsterdam,Aalsmeerweg,3,19,11,1927,20000,1,0,2,345
4,3,0,SAAuctions,Amsterdam,Aalsmeerweg,5,19,11,1927,20000,1,0,3,346
5,4,0,SAAuctions,Amsterdam,Aalsmeerweg,7,19,11,1927,20000,1,0,4,347
6,5,0,SAAuctions,Amsterdam,Aalsmeerweg,9,19,11,1927,20000,1,0,5,348
7,6,0,SAAuctions,Amsterdam,Aalsmeerweg,10,8,11,1934,18500,1,0,6,349
8,7,0,SAAuctions,Amsterdam,Aalsmeerweg,11,6,2,1934,17000,1,0,7,350
9,7,0,SAAuctions,Amsterdam,Aalsmeerweg,11,25,6,1962,44000,0,0,8,350
10,8,0,SAAuctions,Amsterdam,Aalsmeerweg,13,6,2,1934,17000,1,0,9,351
11,8,0,SAAuctions,Amsterdam,Aalsmeerweg,13,25,6,1962,42000,0,0,10,351
12,9,0,SAAuctions,Amsterdam,Aalsmeerweg,15,6,2,1934,17000,1,0,11,352
13,9,0,SAAuctions,Amsterdam,Aalsmeerweg,15,25,6,1962,42000,0,0,12,352
14,10,0,SAAuctions,Amsterdam,Aalsmeerweg,17,6,2,1934,17000,1,0,13,353
15,10,0,SAAuctions,Amsterdam,Aalsmeerweg,17,25,6,1962,41500,0,0,14,353
16,11,0,SAAuctions,Amsterdam,Aalsmeerweg,19,12,1,1931,22000,1,0,15,354
17,11,0,SAAuctions,Amsterdam,Aalsmeerweg,19,23,1,1931,20000,1,0,16,354
18,11,0,SAAuctions,Amsterdam,Aalsmeerweg,19,21,10,1935,13500,0,0,17,354
19,12,0,SAAuctions,Amsterdam,Aalsmeerweg,21,12,1,1931,22000,1,0,18,355
20,12,0,SAAuctions,Amsterdam,Aalsmeerweg,21,23,1,1931,20000,1,0,19,355
21,12,0,SAAuctions,Amsterdam,Aalsmeerweg,21,21,10,1935,13500,0,0,20,355
22,13,0,SAAuctions,Amsterdam,Aalsmeerweg,23,12,1,1931,22000,1,0,21,356
23,13,0,SAAuctions,Amsterdam,Aalsmeerweg,23,23,1,1931,20000,1,0,22,356
24,14,0,SAAuctions,Amsterdam,Aalsmeerweg,25,12,1,1931,22000,1,0,24,357
25,14,0,SAAuctions,Amsterdam,Aalsmeerweg,25,23,1,1931,20000,1,0,25,357
26,15,0,SAAuctions,Amsterdam,Aalsmeerweg,27,12,1,1931,22000,1,0,27,358
27,15,0,SAAuctions,Amsterdam,Aalsmeerweg,27,23,1,1931,20000,1,0,28,358
28,15,0,SAAuctions,Amsterdam,Aalsmeerweg,27,21,10,1935,13500,0,0,29,358
29,16,0,SAAuctions,Amsterdam,Aalsmeerweg,29,12,1,1931,22000,1,0,30,359
30,16,0,SAAuctions,Amsterdam,Aalsmeerweg,29,23,1,1931,20000,1,0,31,359
31,16,0,SAAuctions,Amsterdam,Aalsmeerweg,29,21,10,1935,13500,0,0,32,359
32,17,0,SAAuctions,Amsterdam,Aalsmeerweg,46,20,9,1928,18000,1,0,34,360
33,18,0,SAAuctions,Amsterdam,Aalsmeerweg,48,20,9,1928,18000,1,0,35,361
34,19,0,SAAuctions,Amsterdam,Aalsmeerweg,52,6,10,1928,17000,1,0,36,362
35,20,0,SAAuctions,Amsterdam,Aalsmeerweg,54,6,10,1928,17000,1,0,38,363
36,21,0,SAAuctions,Amsterdam,Aalsmeerweg,56,6,10,1928,17000,1,0,39,364
37,22,0,SAAuctions,Amsterdam,Aalsmeerweg,58,6,10,1928,17000,1,0,44,365
38,23,0,SAAuctions,Amsterdam,Aalsmeerweg,60,6,10,1928,17000,1,0,45,366
39,24,0,SAAuctions,Amsterdam,Aalsmeerweg,61,18,12,1934,17500,1,0,46,367
40,24,0,SAAuctions,Amsterdam,Aalsmeerweg,61,4,4,1938,17000,1,0,47,367
41,25,0,SAAuctions,Amsterdam,Aalsmeerweg,62,,11,1928,16000,1,0,48,368
42,25,0,SAAuctions,Amsterdam,Aalsmeerweg,62,18,6,1936,13500,1,0,49,368
43,26,0,SAAuctions,Amsterdam,Aalsmeerweg,63,18,12,1934,17500,1,0,50,369
44,26,0,SAAuctions,Amsterdam,Aalsmeerweg,63,4,4,1938,17000,1,0,51,369
45,27,0,SAAuctions,Amsterdam,Aalsmeerweg,64,,11,1928,16000,1,0,52,370
46,27,0,SAAuctions,Amsterdam,Aalsmeerweg,64,18,6,1936,13500,1,0,53,370
47,28,0,SAAuctions,Amsterdam,Aalsmeerweg,65,18,12,1934,17500,1,0,54,371
48,28,0,SAAuctions,Amsterdam,Aalsmeerweg,65,4,4,1938,17000,1,0,55,371
49,29,0,SAAuctions,Amsterdam,Aalsmeerweg,66,,11,1928,16000,1,0,56,372
