EntryID,Source,Year,Month,Day,Asking Price,Real Price,Street,No,Street2,No2,Size,Revenu,brut,net,Price,SalesPrice,yield,yields,Charges,CreditF,Credit,Annuite,CreditFonc,InitMiseAPrix,Comment,Type,"Date 
Completed"
1,Figaro,1880,4,1,0,0,Boulevard St-Michel,81,,,,42135,1,0,450000,,0.093633333,,,0,,,0,,,,India
2,Figaro,1880,4,1,0,0,Denfert-Rochereau,47,,,,23144,1,0,240000,,0.096433333,,,0,,,0,,,,India
3,Figaro,1880,4,1,0,0,Boulevard du Port-Royal,92,,,,22132,1,0,240000,,0.092216667,,,0,,,0,,,,India
4,Figaro,1880,4,1,0,0,Rue Bude,16,,,,983,0,1,10000,,0.0983,,,0,,,0,,,,India
5,Figaro,1880,4,1,0,0,Rue de Poitou,16,Ile Saint-Louis,,,8000,1,0,80000,,0.1,,,0,,,0,,,,India
6,Figaro,1880,4,2,0,0,Rue Montesquieu,6,,,,78000,1,0,1000000,,0.078,,,0,,,0,,,,India
7,Figaro,1880,4,2,0,0,Rue Montesquieu,8,Rue des Bons-Enfants,18,,,0,0,600000,,,,,0,,,0,,,,India
8,Figaro,1880,4,2,0,0,Rue des Bons-Enfants,20_22,,,,,0,0,900000,,,,,0,,,0,,,,India
9,Figaro,1880,4,2,0,0,Rue Barbet-De-Jouy,16,,,,,0,0,300000,,,,,0,,,0,,,,India
10,Figaro,1880,4,2,0,0,Avenue Mac Mahon,7,,,,12875,1,0,160000,,0.08046875,,,0,,,0,,,,India
11,Figaro,1880,4,2,0,0,Rue Laffitte,38,,,,,0,0,125000,,,,,0,,,0,,,,India
12,Figaro,1880,4,2,0,0,Rue Saint-Denis,187,,,465,18605,0,1,200000,,0.093025,,,0,,,0,,,,India
13,Figaro,1880,4,2,0,0,Rue Maubeuge,102,,,,28200,0,0,500000,,0.0564,,,0,,,0,,,,India
14,Figaro,1880,4,2,0,0,Rue Crimee,152_154,,,,7520,0,0,50000,,0.1504,,,0,,,0,,,,India
15,Figaro,1880,4,2,0,0,Avenue des Ternes,4 bis,,,,,0,0,120000,,,,,0,,,0,,,,India
16,Figaro,1880,4,2,0,0,Rue de la Chaussee-d'Antin,44,,,670,41000,1,0,400000,,0.1025,,,0,,,0,,,,India
17,Figaro,1880,4,2,0,0,Rue Lafayette,146,,,287,13630,1,0,130000,,0.104846154,,2138,0,,,0,,,,India
18,Figaro,1880,4,3,0,0,Rue Racine,30,place de l'Odeon,3,,10500,0,1,180000,,0.058333333,,,0,,,0,,,,India
19,Figaro,1880,4,3,0,0,Rue Racine,28,,,,3500,0,1,60000,,0.058333333,,,0,,,0,,,,India
20,Figaro,1880,4,3,0,0,Rue des Deux-Portes-St-Sauveur,30,,,,6480,0,0,50000,,0.1296,,,0,,,0,,,,India
21,Figaro,1880,4,3,0,0,Rue Montmartre,12,,,,13900,0,0,100000,,0.139,,,0,,,0,,,,India
22,Figaro,1880,4,3,0,0,Rue des Jeuneurs,25,,,,48450,0,0,650000,,0.074538462,,,0,,,0,,,,India
23,Figaro,1880,4,3,0,0,Rue de Poitou,16,,,,8000,1,0,80000,,0.1,,,0,,,0,,,,India
24,Figaro,1880,4,3,0,0,Rue Godot-De-Mauroy,29,,,,15230,0,0,150000,,0.101533333,,,0,,,0,,,,India
25,Figaro,1880,4,3,0,0,Rue Joubert,47,,,,19350,0,0,200000,,0.09675,,,0,,,0,,,,India
26,Figaro,1880,4,3,0,0,Rue de Sevigne,13,,,,19650,1,0,200000,,0.09825,,,0,,,0,,,,India
27,Figaro,1880,4,3,0,0,Rue de la Cle,3_5,,,,,0,0,50000,,,,,0,,,0,,,,India
