Numéro_Tax_SommierPremièreSérie,ID_Mutation,ID_House,Cote,PropID,EntryID,Street,StreetNumber,Type,Day,Month,Year,PriceMod,TaxeRéelle,TaxRateInit,TaxRateFinal,Estimation_RevenuCadastral_Net
1,4238,2073,DQ18/0282,300,1018,"Bordet, rue (Descartes)",25,Succession,29,4,1795,16650,169,0.010,0.203,1800
2,12853,,DQ18/0319,332,1125,"Canettes, rue",12,Succession,19,11,1807,16000,178.75,0.011,0.223,800
3,11947,,DQ18/0283,312,1054,"Bordet, rue (Descartes)",43,Succession,29,2,1809,14000,133.1,0.010,0.190,600
5,1378,2004,DQ18/0282,11,33,"Arras, rue",9,Succession,1,1,1810,12000,199.65,0.017,0.333,900
8,164,40,DQ18/0048,61,170,"Beaubourg, rue",3,Succession,31,7,1810,36000,399.35,0.011,0.222,1800
9,224,80,DQ18/0048,71,209,"Beaubourg, rue",15,Succession,26,1,1810,27000,332.8,0.012,0.247,1500
10,229,80,DQ18/0048,73,214,"Beaubourg, rue",17,Bail,13,10,1810,1200,266.25,0.222,0.222,1200
11,253,83,DQ18/0048,78,244,"Beaubourg, rue",23,Bail,29,9,1810,900,221.9,0.247,0.247,1000
14,328,92,DQ18/0048,95,323,"Beaubourg, rue",45,Succession,15,11,1810,22000,310.6,0.014,0.282,1400
15,435,112,DQ18/0048,105,350,"Beaubourg, rue",20/ter,Bail,26,6,1810,800,177.5,0.222,0.222,800
27,536,126,DQ18/0048,211,686,"Berthaud, impasse",10,Succession,16,9,1810,20000,221.85,0.011,0.222,1000
28,2184,1049,DQ18/0012,231,758,"Bienfaisance, rue",51,Succession,6,10,1810,3550,44.4,0.013,0.250,200
31,3336,1297,DQ18/0044,259,865,"Blancs Manteaux, rue",40,Succession,17,6,1810,64000,709.35,0.011,0.222,3200
33,3381,1304,DQ18/0044,260,869,"Blancs Manteaux, rue",41,Succession,21,1,1810,40000,443.7,0.011,0.222,2000
34,3358,1301,DQ18/0044,263,885,"Blancs Manteaux, rue",47,Succession,2,2,1810,30000,332.8,0.011,0.222,1500
35,4223,2070,DQ18/0282,270,912,"Bon Puits, rue",6,Succession,31,5,1810,6913.6,33.25,0.005,0.096,300
40,12078,,DQ18/0287,297,1006,"Bordet, rue (Descartes)",20,Succession,27,6,1810,18000,136.95,0.008,0.152,660
48,10292,,DQ18/0035,461,1619,"Greneta, rue",37,Bail,9,5,1810,1500,266.26,0.178,0.178,1200
49,10313,,DQ18/0035,465,1633,"Greneta, rue",41,Bail,17,7,1810,1400,205,0.146,0.146,924
50,10326,,DQ18/0035,467,1649,"Greneta, rue",44,Bail,17,7,1810,1400,499.2,0.357,0.357,2250
60,601,32,DQ18/0299,564,2029,"Montagne Sainte-Geneviève, rue",12,Bail,2,5,1810,1000,188.6,0.189,0.189,850
61,606,33,DQ18/0299,565,2040,"Montagne Sainte-Geneviève, rue",14,Succession,26,6,1810,20000,221.85,0.011,0.222,1000
67,11722,,DQ18/0241,630,2213,"Richelieu, rue",70,Bail,18,7,1810,6000,1553,0.259,0.259,7000
68,11762,,DQ18/0241,633,2226,"Richelieu, rue",78,Bail,30,6,1810,6800,1641.75,0.241,0.241,7400
69,11769,,DQ18/0241,633,2227,"Richelieu, rue",78,Succession,2,11,1810,164000,1625.35,0.010,0.198,7400
70,4306,2085,DQ18/0286,726,2514,"Saint-Nicolas du Chardonnet, rue",17,Succession,27,12,1810,5000,39.55,0.008,0.158,400
75,1774,88,DQ18/0167,52,144,"Bac, rue",105,Bail,5,9,1811,9000,658.9,0.073,0.073,3000
79,194,43,DQ18/0048,67,191,"Beaubourg, rue",9,Bail,22,5,1811,1424,263.7,0.185,0.185,1200
81,218,79,DQ18/0048,73,216,"Beaubourg, rue",17,Succession,9,9,1811,28000,307.5,0.011,0.220,1400
82,219,79,DQ18/0048,73,217,"Beaubourg, rue",17,Succession,9,9,1811,28000,307.5,0.011,0.220,1400
83,286,185,DQ18/0048,83,274,"Beaubourg, rue",31,Bail,26,3,1811,1800,461.3,0.256,0.256,2100
84,389,104,DQ18/0048,86,285,"Beaubourg, rue",36,Succession,6,8,1811,44000,483.51,0.011,0.220,2200
86,340,94,DQ18/0048,100,340,"Beaubourg, rue",51,Bail,3,11,1811,29760,131.8,0.004,0.089,600
88,2393,1109,DQ18/0030,138,431,"Beaurepaire, rue",29,Succession,30,4,1811,22000,241.6,0.011,0.220,1100
89,10648,,DQ18/0100,152,488,"Bercy, rue",4,Bail,28,9,1811,1000,175.7,0.176,0.176,800
93,10703,,DQ18/0100,168,537,"Bercy, rue",91,Bail,20,3,1811,650,177.5,0.273,0.273,800
95,1692,2051,DQ18/0282,184,588,"Bernardins, rue",6,Succession,18,2,1811,18000,197.65,0.011,0.220,900
98,537,126,DQ18/0048,211,687,"Berthaud, impasse",10,Succession,27,7,1811,20000,219.75,0.011,0.220,1000
99,538,126,DQ18/0048,211,688,"Berthaud, impasse",10,Succession,8,5,1811,20000,219.75,0.011,0.220,1000
100,554,129,DQ18/0048,212,693,"Berthaud, impasse",12,Succession,1,12,1811,18000,197.8,0.011,0.220,900
101,2185,1049,DQ18/0012,231,759,"Bienfaisance, rue",51,Succession,23,1,1811,6000,49.9,0.008,0.166,200
104,3297,1291,DQ18/0044,246,816,"Blancs Manteaux, rue",22,Succession,3,4,1811,60000,834.1,0.014,0.278,3800
109,12095,,DQ18/0287,303,1030,"Bordet, rue (Descartes)",34,Succession,31,3,1811,24000,263.6,0.011,0.220,1200
112,3226,1274,DQ18/0044,364,1267,"Charlot, rue",42,Succession,4,3,1811,20000,219.75,0.011,0.220,1000
113,10778,,DQ18/0104,384,1314,"Deux Boules, rue",4,Succession,28,12,1811,36000,395.35,0.011,0.220,1800
114,3935,1464,DQ18/0318,404,1379,"Ecole de médecine, rue",65,Succession,24,8,1811,25679,307.5,0.012,0.239,1400
115,4002,1473,DQ18/0318,413,1407,"Ecole de médecine, rue",83,Succession,23,4,1811,80000,219.65,0.003,0.055,2500
116,10156,,DQ18/0035,435,1493,"Greneta, rue",10,Bail,14,9,1811,3000,636.95,0.212,0.212,2900
118,653,2,DQ18/0299,498,1771,"Judas, rue",7,Succession,1,10,1811,6000,65.9,0.011,0.220,300
120,867,21,DQ18/0299,530,1906,"Maubert, place",26,Succession,17,5,1811,54000,263.6,0.005,0.098,1400
121,1159,66,DQ18/0299,535,1925,"Maubert, place",31,Bail,22,1,1811,600,131.8,0.220,0.220,600
123,1191,69,DQ18/0299,540,1944,"Maubert, place",37,Bail,21,3,1811,1200,252.6,0.211,0.211,1150
125,834,16,DQ18/0299,544,1964,"Maubert, place",42,Succession,17,6,1811,20000,219.63,0.011,0.220,1000
127,1222,74,DQ18/0299,549,1992,"Maubert, place",49,Succession,21,4,1811,18000,197.7,0.011,0.220,900
128,2503,1133,DQ18/0030,562,2021,"Mauconseil, rue",27,Succession,3,10,1811,33000,571.05,0.017,0.346,2600
129,612,34,DQ18/0299,564,2030,"Montagne Sainte-Geneviève, rue",12,Succession,6,3,1811,40680,352.45,0.009,0.173,1600
130,4333,2089,DQ18/0286,574,2068,"Paon, rue",9,Succession,29,8,1811,7000,76.85,0.011,0.220,350
133,11742,,DQ18/0241,631,2219,"Richelieu, rue",74,Bail,12,8,1811,5700,955.45,0.168,0.168,4350
137,11846,,DQ18/0241,640,2252,"Richelieu, rue",95,Succession,17,7,1811,120000,1230,0.010,0.205,5600
140,2760,1188,DQ18/0031,681,2367,"Saint-Denis, rue",215,Succession,9,2,1811,22000,241.6,0.011,0.220,1100
144,4945,2133,DQ18/0286,761,2641,"Tournelle, quai",35,Succession,19,8,1811,13000,385.5,0.030,0.030,1300
149,441,114,DQ18/0048,72,212,"Beaubourg, rue",16,Bail,18,2,1812,1750,371.75,0.212,0.212,1700
150,423,108,DQ18/0048,77,236,"Beaubourg, rue",22,Bail,20,6,1812,1600,263.85,0.165,0.165,1200
152,413,107,DQ18/0048,79,254,"Beaubourg, rue",24,Succession,23,12,1812,32800,360.55,0.011,0.220,1640
153,403,105,DQ18/0048,82,266,"Beaubourg, rue",28,Bail,19,4,1812,1700,329.8,0.194,0.194,1500
154,393,1522,DQ18/0048,85,282,"Beaubourg, rue",34,Succession,21,9,1812,32000,313.2,0.010,0.196,1600
156,320,91,DQ18/0048,93,314,"Beaubourg, rue",43,Succession,,,1812,16000,175.9,0.011,0.220,800
162,10731,,DQ18/0100,172,557,"Bercy, rue",99,Bail,16,4,1812,200,44,0.220,0.220,200
165,1567,2033,DQ18/0282,207,671,"Bernardins, rue",44,Succession,19,10,1812,32000,351.4,0.011,0.220,1600
166,525,123,DQ18/0048,208,672,"Berthaud, impasse",5,Bail,17,12,1812,900,241.85,0.269,0.269,1100
169,3450,1316,DQ18/0044,239,791,"Blancs Manteaux, rue",7,Succession,4,1,1812,23636,175.8,0.007,0.149,800
170,3415,1311,DQ18/0044,248,822,"Blancs Manteaux, rue",25,Succession,25,11,1812,80000,878.45,0.011,0.220,4000
172,3402,1308,DQ18/0044,255,855,"Blancs Manteaux, rue",33,Succession,23,7,1812,80000,724.55,0.009,0.181,3300
173,3334,1296,DQ18/0044,257,862,"Blancs Manteaux, rue",38,Succession,6,9,1812,50000,592.6,0.012,0.237,2700
174,3442,1315,DQ18/0044,266,898,"Blancs Manteaux, rue",13/bis,Succession,4,1,1812,9200,178.05,0.019,0.387,810
180,2512,1135,DQ18/0031,374,1287,"Cygne, rue",5,Succession,14,3,1812,6500,142.76,0.022,0.022,650
181,10789,,DQ18/0104,388,1327,"Deux Boules, rue",8,Succession,20,9,1812,73700,538.1,0.007,0.146,2450
182,10836,,DQ18/0106,393,1343,"Deux Boules, rue",13,Bail,23,7,1812,1450,304.7,0.210,0.210,1400
185,4082,1487,DQ18/0318,424,1446,"Ecole de médecine, rue",113,Succession,31,3,1812,48000,507.7,0.011,0.212,2300
194,817,48,DQ18/0299,505,1791,"Lavandières, rue",8,Succession,14,12,1812,11000,184.5,0.017,0.335,1140
196,1187,69,DQ18/0299,540,1945,"Maubert, place",37,Succession,25,6,1812,24245,252.6,0.010,0.208,1130
197,1251,77,DQ18/0299,541,1952,"Maubert, place",38,Succession,16,9,1812,31000,285.5,0.009,0.184,1300
198,1208,72,DQ18/0299,545,1971,"Maubert, place",43,Succession,22,2,1812,18800,206.45,0.011,0.220,940
202,11805,,DQ18/0241,636,2240,"Richelieu, rue",88,Bail,23,5,1812,3600,768.7,0.214,0.214,3300
205,11849,,DQ18/0241,641,2259,"Richelieu, rue",96,Bail,9,12,1812,4650,922.46,0.198,0.198,4200
206,11866,,DQ18/0241,644,2269,"Richelieu, rue",100,Bail,20,9,1812,5000,1098.2,0.220,0.220,3000
210,2980,1232,DQ18/0044,729,2524,"Temple, rue",36,Succession,28,2,1812,16000,615,0.038,0.038,2800
216,32,206,DQ18/0167,32,96,"Babylone, rue",19,Succession,28,1,1813,56000,502.8,0.009,0.180,2300
220,436,112,DQ18/0048,105,351,"Beaubourg, rue",20/ter,Bail,30,3,1813,800,174.9,0.219,0.219,800
223,528,124,DQ18/0048,210,684,"Berthaud, impasse",9,Succession,20,9,1813,36000,459.1,0.013,0.255,2100
225,9155,,DQ18/0012,217,722,"Bienfaisance, rue",9,Succession,18,6,1813,8000,109.3,0.014,0.273,500
227,3416,1311,DQ18/0044,248,823,"Blancs Manteaux, rue",25,Succession,23,1,1813,80000,874.5,0.011,0.219,4000
