EntryID,PropID,Street,HouseNumber,SaleType,Year,PriceMod,RPI
7857,1,Archives,3,vente,1813,49288,103.9239458
7858,1,Archives,3,succession,1817,2900,114.6120108
7859,1,Archives,3,succession,1823,3200,139.5169148
7860,1,Archives,3,succession,1835,8000,151.7141068
7861,1,Archives,3,vente,1839,140000,170.4158202
7862,1,Archives,3,vente,1840,40000,172.912425
7863,1,Archives,3,vente,1847,190000,194.0337384
7864,1,Archives,3,succession,1851,10500,188.6463889
7865,1,Archives,3,vente,1862,250000,301.9903104
1,1,Archives,3,taxes,1883,2171.87,429.4245787
7866,2,Archives,4,vente,1858,135000,273.2458982
7868,2,Archives,4,insuffisance,1895,66.66,444.2933828
7867,2,Archives,4,succession,1895,12051.66,444.2933828
7869,2,Archives,4,succession,1895,12021.66,444.2933828
7870,2,Archives,4,insuffisance,1895,66.66,444.2933828
7871,2,Archives,4,adjudication,1896,168932.6,443.3296113
7872,2,Archives,4,succession,1913,15780,487.174312
7873,2,Archives,4,partage,1914,195859.24,493.6370155
7874,2,Archives,4,vente,1927,350000,1177.053098
7875,3,Archives,5,succession,1881,32150,421.7317084
2,3,Archives,5,taxes,1883,2069.51,429.4245787
7876,3,Archives,5,adjudication,1887,178069.15,443.2637668
7877,3,Archives,5,succession,1895,9800,444.2933828
7878,3,Archives,5,cession,1895,23750,444.2933828
7879,3,Archives,5,cession,1895,23750,444.2933828
7880,3,Archives,5,vente,1901,240000,444.9162971
7881,3,Archives,5,succession,1914,12000,493.6370155
7882,3,Archives,5,succession,1914,12000,493.6370155
7883,4,Archives,6,donation,1877,20520,396.7094053
7884,4,Archives,6,succession,1911,23821,467.0424148
7885,4,Archives,6,succession,1916,NA,503.8889517
7886,4,Archives,6,vente,1930,800000,1765.579647
7888,4,Archives,6,insuffisance,1936,80000,1767.547963
7887,4,Archives,6,succession,1936,73333.33333,1767.547963
7889,5,Archives,8,succession,1872,8675,384.8799262
7890,5,Archives,8,vente,1894,97250,442.8123096
