Year,VacancyRate,EichholtzHPI,JordaHPI,JordaEqTR,JordaHousingTR,JordaRentRtn,JordaBondYield,JordaBillRate,RPI,CPI,TaxIndex,HPI,HPIwithApp,MedianYieldincApp,AggYieldincApp,CountYieldincApp,MedianYield,AggYield,CountYield,MedianTaxFrac,AggTaxFrac,TaxCount,MedianTaxFracAll,AggTaxFracAll,NetMedYield,NetMedYieldincApp,NetAggYield,NetAggYieldL,NetAggYieldH,NetAggYieldincApp
1899,,,4.71832,,0.086168505,0.04789494,,,1051.22,715.9085593,,242.5847307,239.6926,,,,,,,,,,,,,,,,,
1900,0.050109437,100,4.89225,0.067702673,0.084808215,0.046240948,0.0329,0.034400001,1057.76,742.0857272,113.3824849,248.9069983,245.9394926,0.106423372,0.103725587,8,0.112068966,0.104393116,7,NA,NA,NA,0.078960236,0.078960236,0.063983571,0.060760331,0.059601196,0.051771712,0.067430679,0.059220083
1901,0.049446747,102.4946773,5.05087,0.008843155,0.080064893,0.046146009,0.0324,0.029999999,1056.49,787.3529566,116.2238595,244.1443556,239.6016507,0.102962551,0.095926566,16,0.101443621,0.093523705,15,NA,NA,NA,0.080938987,0.080938987,0.057783734,0.058648938,0.053272437,0.046258159,0.060286715,0.054641141
1902,0.048784056,115.5568593,5.20949,0.024988284,0.077211186,0.044411965,0.0307,0.024700001,1058.48,764.3482991,115.7572828,244.37167,247.6877149,0.112179488,0.100968106,8,0.106365546,0.096535523,6,NA,NA,NA,0.08061406,0.08061406,0.060692381,0.064009827,0.055083351,0.047843187,0.062323516,0.057612592
1903,0.048121366,107.3606478,5.11974,0.025818184,0.028170722,0.046194747,0.0311,0.0319,1052.52,764.3482991,122.18599,252.9816492,242.8455648,0.107911111,0.098595901,17,0.108724787,0.103097729,16,NA,NA,NA,0.08509105,0.08509105,0.061623859,0.061162678,0.058434513,0.050702183,0.066166842,0.055882933
1904,0.047458676,96.09360936,5.03,0.147846863,0.029336,0.047700338,0.0312,0.0277,1049.42,787.3529566,123.9621965,235.4824306,221.7426655,0.098909091,0.092886168,17,0.098962879,0.094828571,16,NA,NA,NA,0.08632801,0.08632801,0.0560341,0.056003644,0.053693199,0.046581057,0.060805342,0.052593385
1905,0.046795986,101.8774305,4.85329,0.120831534,0.012909841,0.049790245,0.0316,0.0239,1048.83,787.3529566,124.5816591,235.626933,237.4147072,0.096852632,0.084627135,26,0.105071429,0.101121444,12,NA,NA,NA,0.086759408,0.086759408,0.059517144,0.054861651,0.057279696,0.049695588,0.064863805,0.047936584
1906,0.046133295,82.97696675,4.67657,0.080971792,0.014437199,0.052771136,0.0317,0.037700001,1053.22,787.3529566,124.6307912,207.0645797,206.7079245,0.101210834,0.093831726,32,0.100755668,0.095814568,21,NA,NA,NA,0.086793624,0.086793624,0.057135827,0.057393939,0.054333862,0.04714777,0.061519955,0.053209446
1907,0.045470605,108.0275513,4.66057,-0.033626586,0.05081569,0.054423198,0.0331,0.048599999,1055.26,798.4842425,124.6528143,250.0533388,248.4639873,0.093186508,0.090941453,50,0.086666667,0.085376088,25,NA,NA,NA,0.086808961,0.086808961,0.049202438,0.052903884,0.04846975,0.042066543,0.054872956,0.051629321
1908,0.044807915,107.5874445,4.64457,0.11794854,0.051357862,0.054979667,0.0331,0.030099999,1056.81,820.7468143,124.0763988,215.5338255,224.3266956,0.086363636,0.089037624,67,0.093372341,0.088101666,18,NA,NA,NA,0.086407542,0.086407542,0.053108744,0.049122301,0.050110866,0.043503241,0.056718491,0.050643224
