"full.addr.simpl","full.addr","lat","lon","success","dist.centre","neigh.name","neigh.code","optional"
"Aalsmeerderweg 199, Amsterdam, Netherlands","Aalsmeerderweg 199_211_213, Amsterdam, Netherlands",52.2774142,4.7880917,"OK",12747.5155155759,NA,NA,TRUE
"Aalsmeerweg 10, Amsterdam, Netherlands","Aalsmeerweg 10, Amsterdam, Netherlands",52.3507058,4.8492288,"OK",3777.5584946819,"Hoofddorppleinbuurt","44",TRUE
"Aalsmeerweg 11, Amsterdam, Netherlands","Aalsmeerweg 11, Amsterdam, Netherlands",52.3510499,4.849672,"OK",3729.61220044649,"Hoofddorppleinbuurt","44",TRUE
"Aalsmeerweg 13, Amsterdam, Netherlands","Aalsmeerweg 13, Amsterdam, Netherlands",52.3510481,4.8496682,"OK",3729.9389715301,"Hoofddorppleinbuurt","44",TRUE
"Aalsmeerweg 15, Amsterdam, Netherlands","Aalsmeerweg 15, Amsterdam, Netherlands",52.3510017,4.8495785,"OK",3737.93883101571,"Hoofddorppleinbuurt","44",TRUE
"Aalsmeerweg 17, Amsterdam, Netherlands","Aalsmeerweg 17, Amsterdam, Netherlands",52.3504739,4.8490064,"OK",3805.98379912462,"Hoofddorppleinbuurt","44",TRUE
"Aalsmeerweg 19, Amsterdam, Netherlands","Aalsmeerweg 19, Amsterdam, Netherlands",52.3503618,4.84969,"OK",3779.52506619561,"Hoofddorppleinbuurt","44",TRUE
"Aalsmeerweg 21, Amsterdam, Netherlands","Aalsmeerweg 21, Amsterdam, Netherlands",52.35032,4.8497441,"OK",3779.90624223937,"Hoofddorppleinbuurt","44",TRUE
"Aalsmeerweg 23, Amsterdam, Netherlands","Aalsmeerweg 23, Amsterdam, Netherlands",52.3502689,4.8497221,"OK",3784.83348355066,"Hoofddorppleinbuurt","44",TRUE
"Aalsmeerweg 25, Amsterdam, Netherlands","Aalsmeerweg 25, Amsterdam, Netherlands",52.3502156,4.8497517,"OK",3787.32506027811,"Hoofddorppleinbuurt","44",TRUE
"Aalsmeerweg 27, Amsterdam, Netherlands","Aalsmeerweg 27, Amsterdam, Netherlands",52.3501535,4.8497408,"OK",3792.5247408293,"Hoofddorppleinbuurt","44",TRUE
"Aalsmeerweg 29, Amsterdam, Netherlands","Aalsmeerweg 29, Amsterdam, Netherlands",52.3501013,4.8497446,"OK",3796.24751174283,"Hoofddorppleinbuurt","44",TRUE
"Aalsmeerweg 3, Amsterdam, Netherlands","Aalsmeerweg 3, Amsterdam, Netherlands",52.3507932,4.8496865,"OK",3747.72989818177,"Hoofddorppleinbuurt","44",TRUE
"Aalsmeerweg 30, Amsterdam, Netherlands","Aalsmeerweg 30_32_34_36, Amsterdam, Netherlands",52.3501658,4.8491859,"OK",3819.64713917408,"Hoofddorppleinbuurt","44",TRUE
"Aalsmeerweg 46, Amsterdam, Netherlands","Aalsmeerweg 46, Amsterdam, Netherlands",52.3497114,4.8490687,"OK",3859.51352676668,"Hoofddorppleinbuurt","44",TRUE
"Aalsmeerweg 48, Amsterdam, Netherlands","Aalsmeerweg 48, Amsterdam, Netherlands",52.3496507,4.8490156,"OK",3866.74142356825,"Hoofddorppleinbuurt","44",TRUE
"Aalsmeerweg 5, Amsterdam, Netherlands","Aalsmeerweg 5, Amsterdam, Netherlands",52.3507823,4.849436,"OK",3761.33389558188,"Hoofddorppleinbuurt","44",TRUE
"Aalsmeerweg 52, Amsterdam, Netherlands","Aalsmeerweg 52, Amsterdam, Netherlands",52.3493655,4.848675,"OK",3905.29428631593,"Hoofddorppleinbuurt","44",TRUE
